2000;0.012986;5.810326;0.007086;0.002390;5.830398;1
4000;0.052111;49.385577;0.028792;0.008245;49.466480;1
6000;0.112571;166.781492;0.063962;0.014165;166.958025;1
8000;0.203403;392.012105;0.111455;0.021784;392.326963;1
2000;0.372147;5.690758;0.960487;2.736207;7.023392;2
4000;1.160796;29.980903;1.429817;6.058328;32.571516;2
6000;3.060832;93.967282;3.450121;10.829373;100.478235;2
8000;4.469634;214.280395;5.647436;16.625108;224.397465;2
2000;0.339722;6.022787;0.356396;3.994163;6.718905;3
4000;1.370996;21.425131;0.667581;5.581170;23.463708;3
6000;3.179513;69.228862;5.946887;13.721091;78.355262;3
8000;5.658905;156.181789;3.068615;24.317831;164.909309;3
2000;0.376545;4.804055;0.167484;3.188617;5.348084;4
4000;1.544649;17.263426;0.546552;5.525350;19.354627;4
6000;3.567509;54.257039;1.493941;12.858095;59.318489;4
8000;6.420359;121.520912;3.169748;22.595272;131.111019;4